smiles,c_t,c_t_cea,isp,isp_cea,cstar,cstar_cea,Al,EMs,HTPB,NH4CLO4
Nc1nnc(-c2n[nH]nc2[N+](=O)[O-])n1N[N+](=O)[O-],3302.3953,3327.6,266.29266,266.22833843017327,1591.59,1595.2,17.36469454,15.16976579,12.00002021,55.46551946
O=[N+]([O-])c1cn(/N=N/n2cc([N+](=O)[O-])nn2)nn1,3333.8086,3360.6,266.25443,266.69724770642205,1596.846,1598.7,16.91066854,16.30364157,12.0000017,54.7856882
O=[N+]([O-])c1nc(-c2ncn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)n(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3484.409,3492.4,266.2376,266.585117227319,1601.9988,1601.6,15.74938861,34.90086599,12.000021,37.34972439
On1cnnn1,3301.703,3317.5,266.22314,266.38124362895,1593.7284,1596.6,17.53279933,13.8819657,12.00000521,56.58522975
O=[N+]([O-])Cn1nc([N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],3415.4626,3427.1,266.21225,265.8919469928644,1590.7369,1593.2,17.46185956,25.74248073,12.000062,44.79559771
Cc1c(/C=N/n2nn[nH]/c2=N\[N+](=O)[O-])no[n+]1[O-],3293.8306,3309.8,266.2015,266.2079510703364,1595.409,1594.6,17.53052018,13.41196439,12.00000394,57.05751149
[N-]=[N+]=Nc1nn(N)nc1[N+](=O)[O-],3303.089,3325.8,266.19882,266.1467889908257,1598.5299,1597.4,16.48437156,16.88681845,12.00000748,54.62880251
[O-][n+]1onc(/C=N/O)c1/C=N/O,3284.8567,3304.8,266.19257,266.4729867482161,1602.945,1598,17.21611006,14.7840144,12.00000795,55.99986759
O=[N+]([O-])C(c1nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]1)[N+](=O)[O-],3438.4363,3457.6,266.18408,265.43323139653415,1606.5879,1594.6,16.20802325,34.96048455,12.0000634,36.8314288
O=[N+]([O-])c1[nH]ncc1C([N+](=O)[O-])[N+](=O)[O-],3319.972,3363.1,266.1683,266.2181447502548,1591.9491,1594.3,17.75208544,19.39769783,12.00000266,50.85021407
O=[N+]([O-])N1CN=C(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NC1,3339.6663,3344.7,266.16718,266.34046890927624,1599.3649,1597.5,17.28805141,25.14728259,12.00001171,45.56465429
[O-][n+]1ncnn2cnnc21,3274.9485,3300.2,266.16638,266.177370030581,1603.0765,1598,16.37785392,11.88079992,12.00002909,59.74131706
[N-]=[N+]=Nc1n[nH]c(N[N+](=O)[O-])n1,3313.1594,3345.4,266.13348,266.83995922528027,1593.482,1600.5,16.76563455,16.25456238,12.00012112,54.97968194
O=[N+]([O-])Nn1c(-c2nc([N+](=O)[O-])c([N+](=O)[O-])n2N[N+](=O)[O-])nc([N+](=O)[O-])c1[N+](=O)[O-],3447.437,3453.9,266.12958,266.177370030581,1596.1631,1594.3,17.65739003,22.44856022,12.00000399,47.89404575
O=[N+]([O-])Nn1nc([N+](=O)[O-])nc1-c1nc([N+](=O)[O-])nn1N[N+](=O)[O-],3418.481,3429.8,266.1278,266.2589194699286,1597.9762,1595.8,17.27582349,21.09399104,12.00005495,49.63013052
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],3306.8206,3326.9,266.1221,266.3608562691131,1596.3605,1601.8,16.95858226,34.42647904,12.000024,36.6149147
O=[N+]([O-])c1nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]1,3517.7585,3503.4,266.09717,266.085626911315,1606.6193,1597.5,16.40726153,35.26665018,12.0000005,36.32608779
O=[N+]([O-])c1cn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc1[N+](=O)[O-],3385.9597,3396.7,266.07712,266.2487257900102,1596.7194,1597.1,17.09296643,25.45957234,12.00001629,45.44744495
O=[N+]([O-])c1ncn(/N=[N+](\[O-])c2nonc2N(CN(c2nonc2/[N+]([O-])=N/n2cnc([N+](=O)[O-])n2)[N+](=O)[O-])[N+](=O)[O-])n1,3385.3801,3389.6,266.043,266.40163098878696,1598.3309,1595.7,17.40545367,17.47483725,12.00012173,53.11958735
Cc1c(N(CN(c2no[n+]([O-])c2C)[N+](=O)[O-])[N+](=O)[O-])no[n+]1[O-],3317.714,3322.6,266.04123,266.2487257900102,1596.345,1593.5,18.21985953,14.22419847,12.00000541,55.55593659
O=[N+]([O-])/N=c1\[nH]c(Cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])no1,3377.6814,3386.9,266.0377,266.1060142711519,1595.5858,1594,17.48377646,19.62475661,12.00002224,50.8914447
Cc1c([N+](=O)[O-])no[n+]1[O-],3332.7056,3336.1,266.03732,266.12640163098877,1597.0819,1592.8,18.21235928,16.28813502,12.00001597,53.49948973
Cn1nnc(/N=N/N(/N=N/c2nnn(C)n2)c2nnn(C)n2)n1,3254.1006,3277.8,266.02753,266.06523955147804,1599.7085,1598.6,16.46570122,10.00009706,12.00002199,61.53417973
O=[N+]([O-])C(c1nonc1/N=N/c1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3395.6116,3427,266.0231,266.2589194699286,1594.7332,1594.7,17.58310514,20.28959073,12.00000268,50.12730145
O=[N+]([O-])C(c1nonc1/N=N\c1nonc1C([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3395.6106,3427,266.02307,266.2589194699286,1594.7332,1594.7,17.58309107,20.2896245,12.0000111,50.12727333
O=C(CN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3437.6135,3439.4,266.02057,266.0040774719674,1594.6483,1598.9,16.59536414,39.644439,12.00009357,31.76010329
Nn1nc([N+](=O)[O-])c(-n2ncc([N+](=O)[O-])n2)c1[N+](=O)[O-],3324.2573,3346.7,266.0136,265.83078491335374,1591.0018,1592.6,17.30569556,17.26192753,12.0000432,53.43233371
Nn1cnnc1Nn1cnnn1,3260.6921,3276.1,266.01172,266.12640163098877,1600.3593,1598.1,16.70316231,10.00014648,12.00015551,61.29653569
O=[N+]([O-])c1nc(-c2ncn([N+](=O)[O-])n2)n(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3448.6814,3457.9,265.99667,266.2079510703364,1596.0541,1595.5,17.15597205,23.93942793,12.00002738,46.90457263
O=[N+]([O-])c1nn2nnn3nc([N+](=O)[O-])c([N+](=O)[O-])c3c2c1[N+](=O)[O-],3379.237,3411.5,265.99115,265.7900101936799,1590.4606,1593.3,16.78394689,19.42811348,12.00005097,51.78788866
c1cn(/N=N/n2cnnn2)nn1,3293.1628,3311.2,265.9823,266.2793068297655,1600.7101,1599.4,16.38944897,10.12856834,12.00111162,61.48087107
O=[N+]=Nc1cc(N=[N+]=O)nc(N=[N+]=O)n1,3299.5798,3344.1,265.97107,266.2181447502548,1596.3574,1596.5,16.55085288,15.26361172,12.00000463,56.18553078
N/N=c1\n[n+]([O-])nc2c([N+](=O)[O-])c[nH]n12,3275.9822,3297.4,265.96344,266.1060142711519,1599.9874,1597.9,16.51105615,14.25761569,12.00003787,57.23129029
O=[N+]([O-])C(CNc1nc(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nc(NC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1)([N+](=O)[O-])[N+](=O)[O-],3410.4575,3417,265.9481,266.2793068297655,1597.4834,1596.4,17.44273709,26.24927596,12.00001353,44.30797342
c1nnnn1Nc1nncn1-n1cnnn1,3288.1306,3303.6,265.94626,266.0550458715596,1598.1146,1597.5,16.51324265,10.23985796,12.00001217,61.24688723
O=[N+]([O-])c1cc([N+](=O)[O-])n(/N=N/n2nc([N+](=O)[O-])cc2[N+](=O)[O-])n1,3372.4446,3383.4,265.94583,266.0040774719674,1595.7185,1594,17.14287614,18.74378911,12.00000113,52.11333363
O=[N+]([O-])c1cc([N+](=O)[O-])n(-c2nonc2[N+](=O)[O-])n1,3393.7402,3409.2,265.94186,265.9836901121305,1593.8794,1593.5,17.2952382,18.90883191,12.00003584,51.79589405
O=[N+]([O-])c1cn([N+](=O)[O-])nc1-c1noc(-c2nn([N+](=O)[O-])cc2[N+](=O)[O-])n1,3369.089,3390.5,265.922,265.881753312946,1591.9636,1591.7,17.73499469,15.0863166,12.00000716,55.17868156
O=[N+]([O-])OCC1([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3275.1033,3265.7,265.92148,265.4230377166157,1597.7723,1591.1,17.78395757,23.26926517,12.0001035,46.94667377
O=[N+]([O-])c1cn([N+](=O)[O-])nc1-c1nc(-c2nonc2[N+](=O)[O-])no1,3373.0803,3401.8,265.91296,265.92252803261977,1591.2756,1592.2,17.61648524,15.46137299,12.00002288,54.92211889
CC1(C)[C@@](C)(O)OO[C@@]1(C)OO,3161.655,3162.5,265.9118,266.44240570846074,1594.0608,1596.9,18.14996798,10.00055136,12.00007913,59.84940153
[N-]=[N+]=Nc1no[n+]([O-])c1-c1noc(/N=N/c2nc(-c3c(N=[N+]=[N-])no[n+]3[O-])no2)n1,3340.084,3360.7,265.90594,266.0958205912334,1601.1512,1596.5,16.22242528,15.69070786,12.00001455,56.08685231
O=[N+]([O-])Nc1[nH]nc([N+](=O)[O-])c1[N+](=O)[O-],3418.9104,3420.2,265.9021,265.973496432212,1592.4021,1592.9,17.85487308,21.58523454,12.00002631,48.55986607
[N-]=[N+]=Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1CN(Cn1nc([N+](=O)[O-])c([N+](=O)[O-])c1N=[N+]=[N-])[N+](=O)[O-],3344.424,3364.5,265.8913,266.02446483180427,1593.473,1593.9,17.23507727,17.63197418,12.00014952,53.13279903
O=[N+]([O-])c1ccn(C([N+](=O)[O-])[N+](=O)[O-])n1,3337.4128,3358.2,265.8883,265.9531090723751,1592.6006,1592.7,17.75262219,19.39544579,12.00000221,50.85192982
O=[N+]([O-])Nc1nnc2n[n+]([O-])c(N[N+](=O)[O-])nn12,3372.7356,3373.5,265.88623,266.177370030581,1604.1558,1597.8,16.39456762,21.54582372,12.00003297,50.0595757
N#Cc1nonc1N(CN(c1nonc1C#N)[N+](=O)[O-])[N+](=O)[O-],3336.6038,3361.2,265.8775,265.8715596330275,1595.9268,1592.4,17.38262693,13.74260079,12.00003088,56.8747414
[N-]=[N+]=Nc1c([N+](=O)[O-])nn(CN(Cn2nc([N+](=O)[O-])c(N=[N+]=[N-])c2[N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],3348.5378,3363.5,265.86877,265.96330275229354,1594.0035,1593.6,17.23635637,17.62528027,12.00000929,53.13835407
O=[N+]([O-])N(CN(c1nonc1-c1nn[nH]n1)[N+](=O)[O-])c1nonc1-c1nn[nH]n1,3317.1604,3352.1,265.86374,266.3710499490316,1593.1927,1595.9,17.27291193,14.30001337,12.00000081,56.42707389
CN(CCO[N+](=O)[O-])[N+](=O)[O-],3277.94,3278.3,265.8588,266.69724770642205,1591.6058,1597.8,18.52460405,16.458794,12.00003487,53.01656708
[N-]=[N+]=Nc1nnn[nH]1,3308.213,3340,265.8579,266.03465851172274,1595.2991,1597.5,16.33948161,12.51503063,12.00003409,59.14545367
O=[N+]([O-])Nc1nc([N+](=O)[O-])nn1Cc1nnn[nH]1,3284.051,3323.9,265.84933,266.0142711518858,1588.9664,1594,17.36173855,15.16554992,12.00001502,55.47269651
O=[N+]([O-])c1nc(-c2nonc2[N+](=O)[O-])n[nH]1,3361.8408,3391.7,265.84247,265.7186544342507,1589.4363,1591.2,17.54571275,16.61338052,12.00048262,53.84042411
O=[N+]([O-])N(CN(c1nonc1-c1nnn[nH]1)[N+](=O)[O-])c1nonc1-c1nnn[nH]1,3316.8323,3335,265.79926,265.44342507645257,1592.8585,1590.4,17.27615865,14.29036614,12.00002674,56.43344847
O=[N+]([O-])c1nnn(C(CO)([N+](=O)[O-])[N+](=O)[O-])n1,3410.9048,3420.4,265.79413,265.9021406727829,1589.9081,1592,18.24233712,22.15684977,12.00003746,47.60077565
On1nnc(-n2cnnn2)n1,3320.9749,3342.7,265.78912,265.9021406727829,1590.0446,1592.7,17.55933134,11.82138499,12.00004918,58.61923449
O=[N+]([O-])Nc1nc(C2=NNC(c3nnc(N[N+](=O)[O-])[nH]3)=NN2)n[nH]1,3301.9583,3317.3,265.7882,265.82059123343527,1590.1901,1592.4,17.52714963,12.33464817,12.00003042,58.13817178
O=[N+]([O-])C(CNc1nc(-c2nonc2NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]1)([N+](=O)[O-])[N+](=O)[O-],3348.4695,3364.7,265.7765,265.9938837920489,1592.3776,1592.7,17.87540951,19.49347736,12.00009268,50.63102046
CN(Cn1nc([N+](=O)[O-])nc1[N+](=O)[O-])[N+](=O)[O-],3316.3333,3330.3,265.77008,265.8103975535168,1591.8014,1592.2,17.87083666,17.42214984,12.00001153,52.70700197
O=[N+]([O-])Nc1n[nH]nc1[N+](=O)[O-],3395.821,3397.8,265.77,265.9531090723751,1594.1066,1592.5,17.96070223,19.15116186,12.00000872,50.88812719
[O-][N+](=O)Nc1nonc1-c1n[nH]c(=N[N+]([O-])=O)[nH]1,3319.7407,3345.7,265.76398,265.6880733944954,1589.2382,1591.9,17.36668851,16.90217648,12.00001535,53.73111966
O=N(=O)NC1=NC(=NN1)C1=NON=C1N(=O)=O,3358.2725,3378.1,265.75153,265.76962283384296,1589.1351,1591.1,17.80257728,15.76875894,12.00005599,54.4286078
CN(c1c([N+](=O)[O-])nn(N)c1[N+](=O)[O-])[N+](=O)[O-],3327.4607,3327.8,265.7414,265.84097859327215,1591.7816,1592,17.94047498,17.61543146,12.00001199,52.44408157
Nn1nc([N+](=O)[O-])nc1[N+](=O)[O-],3398.4265,3390,265.73117,265.677879714577,1592.709,1590.9,17.92685234,19.48836195,12.00000378,50.58478193
O=[N+]([O-])c1cn(/N=N/n2cc([N+](=O)[O-])c([N+](=O)[O-])n2)nc1[N+](=O)[O-],3368.953,3384.5,265.72363,266.0040774719674,1591.4185,1593.9,17.18168264,18.62283836,12.00001632,52.19546269
O=[N+]([O-])c1cnn(-c2c([N+](=O)[O-])n[nH]c2[N+](=O)[O-])n1,3324.5725,3356.7,265.72003,265.5861365953109,1589.3901,1591.6,17.09082813,17.72399455,12.00131712,53.1838602
O=[N+]([O-])C(c1cc[nH]n1)([N+](=O)[O-])[N+](=O)[O-],3326.8357,3376.7,265.71802,266.9418960244648,1588.928,1598.6,17.75116899,19.40212875,12.00001859,50.84668368
O=[N+]([O-])c1cnn(-c2nn(/N=N/n3nc(-n4ncc([N+](=O)[O-])n4)c([N+](=O)[O-])n3)nc2[N+](=O)[O-])n1,3350.828,3377.6,265.7019,265.7900101936799,1589.2125,1591.4,17.54686384,14.80372977,12.00009308,55.64931331
O=[N+]([O-])Nc1nnc2nncn2n1,3330.639,3345.3,265.70056,265.7900101936799,1599.8307,1592,17.50024767,12.3505337,12.00000182,58.14921681
O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c(-c2n[nH]c([N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-],3458.411,3481.5,265.69757,265.73904179408765,1590.6193,1591.1,17.96768305,21.69112793,12.00002286,48.34116617
O=[N+]([O-])Nc1nc(-c2n[nH]c([N+](=O)[O-])c2[N+](=O)[O-])n[nH]1,3330.804,3353.1,265.6932,265.55555555555554,1589.7339,1590.4,17.58592675,16.20725103,12.00002597,54.20679624
c1nnc2nncn2n1,3259.42,3279.3,265.651,265.7798165137615,1600.274,1596.3,16.22278336,10.00380706,12.0002258,61.77318378
O=[N+]([O-])c1cn(/N=N/n2cc([N+](=O)[O-])nc2[N+](=O)[O-])c([N+](=O)[O-])n1,3371.4373,3369.9,265.6456,265.23955147808357,1592.3927,1589.3,17.17757402,18.63500474,12.00001393,52.1874073
[N-]=[N+]=Nc1n[nH]nc1[N+](=O)[O-],3338.7678,3360.3,265.63803,265.677879714577,1592.3319,1591.8,17.22379708,15.28480585,12.00001694,55.49138012
NNc1c([N+](=O)[O-])c(NN)[n+]([O-])c(NN)[n+]1[O-],3320.573,3323.6,265.6101,266.1467889908257,1590.6462,1592.7,18.65003325,10.54195425,12.00000713,58.80800537
c1nnnn1Nc1nncn1/N=N/n1cnnc1Nn1cnnn1,3283.8367,3302.4,265.6077,265.6167176350662,1596.9675,1595.6,16.39269888,10.00558686,12.00000229,61.60171197
O=[N+]([O-])c1nn(Cn2nc([N+](=O)[O-])c([N+](=O)[O-])c2[N+](=O)[O-])c([N+](=O)[O-])c1[N+](=O)[O-],3417.0679,3428.7,265.60498,265.56574923547396,1588.6664,1590.3,17.74984765,20.68841761,12.00004327,49.56169147
O=[N+]([O-])c1n[nH]c(N=NNc2nc([N+](=O)[O-])n[nH]2)n1,3350.049,3364.9,265.5881,265.75942915392454,1588.2926,1590.8,17.93117861,13.2343505,12.00000995,56.83446094
N#Cc1c(/N=N/c2no[n+]([O-])c2C#N)no[n+]1[O-],3359.6162,3382.8,265.57422,265.82059123343527,1593.5177,1592.3,17.31858822,11.67785205,12.00018284,59.00337689
O=C(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3427.6272,3468.5,265.56845,267.79816513761466,1587.287,1603.8,18.46276109,25.51628631,12.00016278,44.02078982
O=[N+]([O-])c1cn([N+](=O)[O-])nc1-c1nnc(-c2nn([N+](=O)[O-])cc2[N+](=O)[O-])o1,3373.5344,3388.3,265.56427,265.53516819571865,1589.1952,1589.4,17.87669317,14.66659408,12.00001848,55.45669427
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3382.7366,3387.3,265.5595,265.7900101936799,1591.4742,1591.2,18.19762075,21.33388022,12.00001607,48.46848296
Nc1nnc2nnc([N+](=O)[O-])n2n1,3301.627,3340.4,265.5537,265.5861365953109,1586.7288,1590.8,17.5111642,12.41885292,12.00000989,58.06997298
[N-]=[N+]=NCn1cnnn1,3286.586,3302,265.55075,266.0550458715596,1596.8907,1597.5,16.70685575,10.00638929,12.000062,61.28669296
Nc1c([N+](=O)[O-])nn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],3381.8425,3389,265.54742,265.8919469928644,1590.9386,1591.8,18.20139386,21.35371018,12.00001644,48.44487953
[N-]=[N+]=Nc1nnnn1CCO[N+](=O)[O-],3310.1501,3322.7,265.54425,266.04485219164116,1590.1864,1592.8,17.91231895,13.86842291,12.00000352,56.21925462
O=[N+]([O-])c1nonc1Nc1nnc2nnc([N+](=O)[O-])n2n1,3330.472,3361.1,265.53625,265.7186544342507,1591.2352,1593.2,16.69343027,16.76035351,12.0000165,54.54619972
Nn1nc([C-]([N+](=O)[O-])[N+](=O)[O-])oc1=[NH2+],3330.507,3341,265.53427,265.62691131498474,1589.9261,1590.7,18.03909389,17.75536212,12.00080515,52.20473884
O=[N+]([O-])c1nonc1-c1noc(-c2[nH]nc([N+](=O)[O-])c2[N+](=O)[O-])n1,3379.3542,3398.2,265.53244,265.5045871559633,1588.9146,1589.4,17.77157014,15.00130675,12.00000593,55.22711717
O=[N+]([O-])C(c1nnc(-c2nnc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])o2)o1)([N+](=O)[O-])[N+](=O)[O-],3505.4126,3536.1,265.51462,266.03465851172274,1591.2256,1597.3,16.14193017,34.99709372,12.00006938,36.86090673
O=[N+]([O-])c1ncn(/N=N/n2cnc([N+](=O)[O-])c2[N+](=O)[O-])c1[N+](=O)[O-],3377.254,3378.9,265.51343,265.44342507645257,1591.2965,1590.1,17.3785334,18.0077802,12.00001193,52.61367447
O=[N+]([O-])C(c1nc(-c2cocc2/N=N\c2nonc2-c2noc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)no1)([N+](=O)[O-])[N+](=O)[O-],3389.1548,3408.4,265.5025,265.8511722731906,1589.6503,1592.2,17.47250527,18.02754296,12.00004906,52.49990271
O=[N+]([O-])Nc1nnc2nncnn12,3328.78,3340.4,265.50104,265.5147808358817,1599.2527,1590.3,17.51440774,12.33310418,12.00001539,58.15247269
O=[N+]([O-])Nc1nc(Nc2nnn[nH]2)c([N+](=O)[O-])cc1[N+](=O)[O-],3320.863,3340.2,265.49493,265.4026503567788,1586.7904,1588.9,17.79881267,13.99723619,12.00003866,56.20391249
[N-]=[N+]=NCCn1nn[nH]c1=N[N+](=O)[O-],3300.7844,3315.9,265.48953,266.085626911315,1588.6573,1593.5,17.88955942,11.48856204,12.00001637,58.62186217
O=[N+]([O-])C(c1n[nH]c(/N=N/c2nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]2)n1)([N+](=O)[O-])[N+](=O)[O-],3424.1414,3450.2,265.48505,265.6880733944954,1588.6953,1590.4,18.10740012,19.66057796,12.00001939,50.23200252
On1nnnc1-c1nnn[nH]1,3305.9407,3334.4,265.47485,265.7186544342507,1588.3406,1592.4,17.31796508,12.17592743,12.00000175,58.50610575
NC1=C([N+](=O)[O-])C(N[N+](=O)[O-])=NN2N=NNC12,3299.7568,3311.1,265.46848,265.56574923547396,1585.552,1590.1,17.87097337,13.88298863,12.00001089,56.24602711
O=[N+]([O-])C(c1nc(/N=N/c2n[nH]c(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n2)n[nH]1)([N+](=O)[O-])[N+](=O)[O-],3424.499,3450.2,265.46225,265.6880733944954,1588.5327,1590.4,18.10949041,19.65467579,12.0000225,50.23581131
O=[N+]([O-])c1ncn(/N=[N+](\[O-])c2nonc2/N=N/c2nonc2/[N+]([O-])=N/n2cnc([N+](=O)[O-])n2)n1,3367.6135,3378,265.44513,265.7900101936799,1591.5951,1591.4,17.55014294,14.76741385,12.00000379,55.68243942
O=C(CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])OCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3383.9666,3384.6,265.4374,265.8002038735984,1591.4812,1593.8,17.75294887,28.62651845,12.00002153,41.62051116
Nn1nc([N+](=O)[O-])nc1-c1c([N+](=O)[O-])c([N+](=O)[O-])nn1N,3333.5188,3354.5,265.42303,265.5963302752293,1584.7462,1590.2,17.88246774,14.85457806,12.00002667,55.26292753
[N-]=[N+]=NC(=O)CCN(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],3335.1406,3358.6,265.41595,265.9531090723751,1587.9381,1592.2,18.22633842,19.4564966,12.00000258,50.3171624
N/C(=N\[N+](=O)[O-])NNc1nnc(NN/C(N)=N/[N+](=O)[O-])nn1,3294.3987,3308.2,265.4073,265.677879714577,1584.7882,1591.3,17.92261893,13.07000243,12.00001287,57.00736577
O=c1[nH]cc([N+](=O)[O-])nc1-c1n[nH]/c(=N/[N+](=O)[O-])o1,3344.9614,3387.1,265.3902,265.62691131498474,1586.4785,1589.4,18.32811759,11.38552253,12.00007746,58.28628242
Cc1nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])no1,3385.7332,3373.5,265.38925,265.33129459734965,1591.7916,1588.6,18.01028203,21.29654693,12.00000144,48.69316961
Cc1c(/N=N/c2no[n+]([O-])c2C)no[n+]1[O-],3317.9573,3316.6,265.38794,265.7492354740061,1595.5844,1591.8,17.86781346,10.00932511,12.00136155,60.12149988
O=[N+]([O-])c1cnn(NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1,3348.9993,3348.4,265.38696,265.64729867482157,1590.2859,1590.4,18.08584401,18.75425907,12.0001528,51.15974412
O=[N+]([O-])C(n1nccn1)[N+](=O)[O-],3312.7444,3326.1,265.38,265.25993883792046,1586.8568,1588.6,17.82674263,16.56386997,12.00000629,53.60938111
O=[N+]([O-])/N=c1/[nH]nc(CO[N+](=O)[O-])o1,3386.0261,3383.5,265.35535,265.6065239551478,1591.0955,1590,18.24048275,21.55873555,12.00008842,48.20069328
O=[N+]([O-])c1nnc(Nn2cnnn2)[nH]1,3309.9285,3374.9,265.34708,268.11416921508663,1590.6046,1605.9,17.54852841,12.32577186,12.00000883,58.12569091
[N-]=[N+]=Nc1nnc2nnc(N[N+](=O)[O-])n2n1,3350.5164,3364.6,265.34225,265.83078491335374,1591.3658,1592.3,17.33018883,13.33622698,12.00001785,57.33356634
Nc1nnc(-c2nnc(N)n2N[N+](=O)[O-])n1N[N+](=O)[O-],3300.33,3317,265.334,265.66768603465846,1586.5555,1590.9,17.85633649,13.56502308,12.00000526,56.57863517
O=[N+]([O-])/N=c1/[nH]nc(-c2n[nH]nc2[N+](=O)[O-])[nH]1,3321.7273,3346.2,265.33173,265.4128440366972,1586.7634,1589,17.82237648,13.72153805,12.00002626,56.45605921
O=[N+]([O-])c1nonc1-c1nc(-c2c([N+](=O)[O-])n[nH]c2[N+](=O)[O-])n[nH]1,3348.4358,3373,265.3291,265.35168195718654,1586.1693,1588.6,17.74486868,13.78517725,12.00000268,56.4699514
N=C(NN)c1nonc1N(CN(c1nonc1C(=N)NN)[N+](=O)[O-])[N+](=O)[O-],3310.1394,3311,265.32605,265.66768603465846,1589.5658,1590.7,18.03583487,11.8787884,12.00000617,58.08537055
O=[N+]([O-])c1ncn(/N=N/n2cnc([N+](=O)[O-])n2)n1,3345.9602,3349.2,265.32123,265.3211009174312,1588.9941,1589.1,17.45010824,15.01182972,12.00002229,55.53803975
N/N=C(\N)c1nonc1N(CN(c1nonc1/C(N)=N/N)[N+](=O)[O-])[N+](=O)[O-],3340.1748,3344.1,265.31613,265.84097859327215,1591.0507,1591.2,18.37133329,10.31870074,12.00001126,59.30995471
O=[N+]([O-])c1nn(O)c2c([N+](=O)[O-])nn(O)c12,3393.2502,3404.8,265.3155,265.6065239551478,1586.5631,1588.8,18.44378598,16.20175338,12.00000183,53.35445881
[O-][n+]1onc(-c2no[n+]([O-])c2-c2no[n+]([O-])c2-c2nnn[nH]2)c1-c1nnn[nH]1,3336.5464,3358.5,265.31226,265.3822629969419,1589.2014,1589.5,17.42873469,12.66008153,12.00010121,57.91108258
NC(=[NH2+])C(c1nnn[n-]1)([N+](=O)[O-])[N+](=O)[O-],3310.2559,3331.1,265.30133,265.4230377166157,1585.9208,1589.9,17.78528144,15.32915186,12.00002846,54.88553824
O=[N+]([O-])Nc1nnc2c3nnc(N[N+](=O)[O-])n3c3nonc3n12,3378.7507,3396.2,265.30072,265.4943934760448,1588.1108,1589.2,18.09787978,10.62369906,12.00001188,59.27840927
O=[N+]([O-])c1nc(-c2nc([N+](=O)[O-])nn2C([N+](=O)[O-])[N+](=O)[O-])n(C([N+](=O)[O-])[N+](=O)[O-])n1,3431.1614,3451.4,265.294,265.54536187563707,1588.5206,1589.5,18.14619476,20.25312005,12.00009547,49.60058973
O=[N+]([O-])C(c1n[nH]c(-c2nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]2)n1)([N+](=O)[O-])[N+](=O)[O-],3417.887,3446.2,265.29398,265.15800203873596,1584.2762,1586.8,18.29892257,19.78044453,12.0000094,49.92062349
O=[N+]([O-])NN1c2c([N+](=O)[O-])c([N+](=O)[O-])nn2Cn2nc([N+](=O)[O-])c([N+](=O)[O-])c21,3373.3083,3393.3,265.28986,265.27013251783893,1586.1781,1587.4,18.14466078,16.42008269,12.00006487,53.43519166
