smiles,c_t,c_t_cea,isp,isp_cea,cstar,cstar_cea,Al,EMs,HTPB,NH4CLO4
O=[N+]([O-])N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1nc(-c2nonc2N(CC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])n[nH]1,3413.3152,3427.7,268.6826,268.6544342507645,1617.1652,1616.8,15.05974929,36.85929818,12.00000447,36.08094806
O=[N+]([O-])C(CNc1nonc1-c1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3328.7205,3372.9,268.6052,268.6748216106014,1618.7904,1616.4,15.35000992,30.56421256,12.00000471,42.08577281
O=[N+]([O-])C(CNc1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3353.4766,3385.7,268.60205,268.56269113149847,1619.0448,1617.8,15.17018638,36.39104074,12.00000078,36.43877211
O=[N+]([O-])C(CNc1nnnn1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3377.3862,3402.4,268.57196,268.7461773700306,1620.1155,1617.3,15.60966005,33.73039051,12.00003052,38.65991892
O=[N+]([O-])Nc1c([N+](=O)[O-])c(N[N+](=O)[O-])c([N+](=O)[O-])c(N[N+](=O)[O-])c1[N+](=O)[O-],3408.6697,3443.4,268.56357,268.41997961264013,1615.0247,1612.8,15.80648582,33.31646245,12.00003584,38.8770159
O=[N+]([O-])c1cc([N+](=O)[O-])n(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n1,3551.111,3563.5,268.55786,268.68501529051986,1614.349,1613.8,15.9750879,39.99769223,12.0001928,32.02702706
O=[N+]([O-])C(c1nnn[nH]1)([N+](=O)[O-])[N+](=O)[O-],3533.5247,3528,268.51813,268.9500509683996,1620.3558,1618.3,15.0418924,39.99999807,12.00003152,32.95807802
Cn1c(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])noc1=O,3374.73,3408.1,268.4978,268.3384301732926,1612.6073,1614,15.66816044,33.80990235,12.00001909,38.52191811
O=[N+]([O-])Nc1no[n+]([O-])c1-c1c(N[N+](=O)[O-])no[n+]1[O-],3419.7083,3420,268.4569,268.48114169215086,1621.6395,1615.8,14.8517773,35.68709452,12.00000766,37.46112052
O=[N+]([O-])c1nn(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c(-c2c([N+](=O)[O-])c([N+](=O)[O-])nn2C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])c1[N+](=O)[O-],3579.2673,3609.5,268.45416,268.70540265035675,1612.6879,1613.1,16.09141529,39.99884065,12.00323167,31.90651239
NN1/C(=C\[N+](=O)[O-])NC2C1N/C(=C/[N+](=O)[O-])N2N,3170.0295,3197,268.44366,267.63506625891944,1613.7365,1610.7,15.85288217,15.49759768,12.00002389,56.64949626
O=[N+]([O-])C(CNn1cnnn1)([N+](=O)[O-])[N+](=O)[O-],3333.2952,3343.4,268.3512,268.39959225280325,1618.0573,1613.9,15.83119815,28.84390066,12.00000352,43.32489767
O=[N+]([O-])Nc1nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[nH]1,3480.9158,3480.1,268.14304,268.48114169215086,1616.7158,1616.4,14.98577792,39.99907912,12.00013283,33.01501013
O=[N+]([O-])Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2N[N+](=O)[O-],3396.8733,3418.1,268.08948,268.29765545361875,1617.5745,1615,14.79988157,32.91084899,12.00001407,40.28925537
O=[N+]([O-])OCn1nnc([N+](=O)[O-])n1,3416.6316,3422.3,268.08823,267.90010193679916,1616.6234,1611.2,15.70468344,31.90827545,12.00002743,40.38701368
O=[N+]([O-])c1c(-c2c(/N=N\c3no[n+]([O-])c3-c3no[n+]([O-])c3[N+](=O)[O-])no[n+]2[O-])no[n+]1[O-],3397.428,3428,268.085,268.10397553516816,1615.3055,1612.5,14.61111598,30.59551968,12.00000169,42.79336264
O=[N+]([O-])Nc1nonc1/N=N\c1nonc1N[N+](=O)[O-],3367.7952,3400.5,268.06583,268.3384301732926,1611.8668,1611.2,16.0027221,22.73354455,12.00002393,49.26370942
C[C@@]1(OO)CC[C@@](C)(OO)OO1,3202.149,3212.6,267.95093,268.37920489296636,1604.3942,1609,18.17618484,12.54470584,12.00004701,57.2790623
Nc1c([N+](=O)[O-])c([N+](=O)[O-])nn1-c1nnn[nH]1,3281.325,3343.1,267.8676,267.6554536187563,1601.0326,1606.8,16.30416662,17.4180982,12.00000248,54.27773269
O=[N+]([O-])C(CNc1nonc1/N=N\c1nonc1NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3356.2373,3369.4,267.83508,268.01223241590213,1615.6676,1609.5,16.07705552,28.31453092,12.00001207,43.6084015
O=[N+]([O-])/N=C(\O)C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],3673.0178,3695.5,267.8338,267.7471967380224,1603.2443,1603.1,18.44606961,39.99954304,12.45724352,29.09714383
[N-]=[N+]=Nc1nnn(/N=N/n2nnc(N=[N+]=[N-])n2)n1,3364.3083,3384,267.80536,268.0632008154944,1609.771,1611.7,15.26701672,15.23433064,12.0000163,57.49863635
O=[N+]([O-])N=C1NC2NC(=N[N+](=O)[O-])NC2N1,3267.6375,3278.1,267.80353,267.5025484199796,1613,1608.2,16.19421498,17.0757936,12.00000635,54.72998507
O=[N+]([O-])c1no[n+]([O-])c1-c1c(/N=N\c2no[n+]([O-])c2-c2c([N+](=O)[O-])no[n+]2[O-])no[n+]1[O-],3430.8093,3450.2,267.79608,267.7471967380224,1611.7715,1607.3,15.85044827,24.60592598,12.00004094,47.54358481
O=[N+]([O-])Nn1cnnc1Nn1cnnn1,3270.1301,3294.5,267.79495,267.3496432212028,1611.0659,1607.8,15.77368929,15.97629839,12.00000088,56.25001144
Nc1nn2c([N+](=O)[O-])nnc2n[n+]1[O-],3295.3835,3346.5,267.77,267.5637104994903,1608.0685,1605.8,16.28731778,17.95180079,12.00000306,53.76087837
O=[N+]([O-])OC1(O[N+](=O)[O-])COC1,3310.153,3314.8,267.63638,265.3211009174312,1602.2374,1597.6,16.34683616,39.7954041,12.00000394,31.8577558
O=[N+]([O-])N1CN([N+](=O)[O-])CC([N+](=O)[O-])([N+](=O)[O-])C1,3291.0334,3307.7,267.63037,267.3598369011213,1613.2239,1607.8,16.39084632,28.93739673,12.00001666,42.67174028
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1,3260.293,3271.3,267.5904,267.3598369011213,1614.4944,1607.4,16.59133872,26.76288016,12.00001822,44.6457629
C[C@]1(O)C[C@](C)(OO)OO1,3199.207,3209.5,267.5459,268.236493374108,1603.0336,1608,18.19531207,12.55585464,12.00005812,57.24877518
O=[N+]([O-])C(CNc1nonc1Nc1nnc(Nc2nonc2NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])nn1)([N+](=O)[O-])[N+](=O)[O-],3325.5525,3354.7,267.52386,267.5229357798165,1608.8987,1604.7,16.72787276,20.77427393,12.00002755,50.49782576
O=[N+]([O-])C(c1nnc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])o1)([N+](=O)[O-])[N+](=O)[O-],3662.45,3686.4,267.52002,267.3190621814475,1604.3048,1600.4,18.04243183,39.99973982,12.00088722,29.95694113
O=[N+]([O-])c1no[n+]([O-])c1-c1no[n+]([O-])c1-c1c([N+](=O)[O-])no[n+]1[O-],3432.012,3457,267.4955,267.5840978593272,1611.3395,1608.2,15.11368709,31.58380575,12.00001036,41.30249679
N#[N+]c1nc(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])n[n-]1,3447.5486,3466.2,267.49225,267.73700305810394,1613.0676,1611.4,14.45544327,33.93123194,12.00001231,39.61331248
O=c1[nH]c(C([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])no1,3536.6448,3610.6,267.48575,270.0611620795107,1609.2,1620.8,16.62536087,39.99948812,12.00021503,31.37493598
